random data 1,100,100,5.77,5.77,40.19,40.19,11.0
Random Data 2,100,100,5.69,5.69,40.27,40.27,11.0
Random Data 3,100,100,6.38,6.38,39.92,39.92,11.0
Random Data 4,100,100,5.99,5.99,40.43,40.43,11.0
Random Data 5,100,100,6.05,6.05,40.92,40.92,11.0
Random Data 6,100,100,6.36,6.36,39.41,39.41,11.0
Random Data 7,100,100,6.24,6.24,39.71,39.71,11.0
Random Data 8,100,100,5.92,5.92,40.04,40.04,11.0
Random Data 9,100,100,5.86,5.86,39.64,39.64,11.0
Random Data 10,100,100,5.8,5.8,39.22,39.22,11.0
5% change A,100,100,12.35,12.35,33.13,33.13,16.52
5% change B,100,100,13.1,13.1,33.8,33.8,17.44
5% change C,100,100,10.71,10.71,36.1,36.1,13.76
