random data 1,85,115,85,115,4.05,5.09,4.8,4.45,52.89,47.16,47.98,51.44,51.62
Random Data 2,84,116,84,116,4.1,5.16,4.59,4.43,53.07,47.15,48.14,51.58,51.5
Random Data 3,85,115,85,115,3.88,5.1,5.0,4.57,51.95,46.97,47.61,50.83,52.38
Random Data 4,79,121,79,121,4.06,5.32,4.67,4.7,52.61,46.79,48.04,51.64,52.12
Random Data 5,83,117,83,117,4.06,5.39,5.38,4.43,52.65,46.56,47.19,51.5,53.12
Random Data 6,91,109,91,109,4.29,4.74,5.08,4.66,52.13,47.45,47.67,50.49,51.62
Random Data 7,80,120,80,120,4.16,5.31,4.45,4.85,52.06,46.92,48.24,51.14,51.75
Random Data 8,85,115,85,115,3.88,5.16,4.81,4.35,52.54,47.07,47.88,51.17,51.88
Random Data 9,78,122,78,122,4.22,5.3,3.87,4.88,52.51,47.07,48.79,51.5,51.0
Random Data 10,91,109,91,109,4.03,4.56,4.4,4.32,52.58,47.82,48.3,50.71,50.62
5% change A,87,113,87,113,5.13,4.74,4.83,6.16,49.36,47.09,47.37,48.84,53.38
5% change B,90,110,90,110,5.27,4.74,5.14,5.73,50.46,46.89,46.76,49.46,54.5
5% change C,84,116,84,116,5.16,5.24,5.23,6.02,49.69,46.66,47.17,49.34,53.5
