random data 1,165,200,200,2.41,5.59,6.78,54.9,47.8,40.6,43.5
Random Data 2,163,200,200,2.37,5.7,6.71,54.9,47.59,40.64,43.5
Random Data 3,162,200,200,2.29,5.51,7.15,54.46,47.65,40.46,43.5
Random Data 4,157,200,200,2.14,5.67,6.78,54.61,47.15,40.72,43.5
Random Data 5,154,200,200,2.2,5.67,6.61,54.71,46.94,40.96,43.5
Random Data 6,166,200,200,2.62,5.54,7.34,54.45,47.91,40.2,43.5
Random Data 7,160,200,200,2.38,5.71,7.17,54.38,47.36,40.35,43.5
Random Data 8,163,200,200,2.25,5.64,6.9,54.71,47.64,40.52,43.5
Random Data 9,162,200,200,2.38,5.78,7.04,54.54,47.44,40.32,43.5
Random Data 10,172,200,200,2.48,5.5,7.18,54.72,48.35,40.11,43.5
5% change A,163,200,200,4.03,5.14,8.98,53.32,48.07,39.83,43.5
5% change B,156,200,200,3.84,5.22,8.36,53.76,47.58,40.62,43.5
5% change C,160,200,200,3.91,5.41,8.62,53.49,47.64,39.93,43.5
